"Notes"	"Disease"	"Disease Code"	"State"	"State Code"	"Gender"	"Gender Code"	STD Cases	Population	Rate
	"Chlamydia"	"274"	"Alabama"	"01"	"Female"	"F"	13988	2317373	603.62
	"Chlamydia"	"274"	"Alabama"	"01"	"Male"	"M"	1579	2169135	72.79
	"Chlamydia"	"274"	"Alaska"	"02"	"Female"	"F"	2576	310665	829.19
	"Chlamydia"	"274"	"Alaska"	"02"	"Male"	"M"	1230	333121	369.24
	"Chlamydia"	"274"	"Arizona"	"04"	"Female"	"F"	11618	2730597	425.48
	"Chlamydia"	"274"	"Arizona"	"04"	"Male"	"M"	3303	2725856	121.17
	"Chlamydia"	"274"	"Arkansas"	"05"	"Female"	"F"	5817	1385513	419.84
	"Chlamydia"	"274"	"Arkansas"	"05"	"Male"	"M"	1486	1324566	112.19
	"Chlamydia"	"274"	"California"	"06"	"Female"	"F"	81218	17599581	461.48
	"Chlamydia"	"274"	"California"	"06"	"Male"	"M"	28400	17516452	162.13
	"Chlamydia"	"274"	"Colorado"	"08"	"Female"	"F"	10422	2236391	466.02
	"Chlamydia"	"274"	"Colorado"	"08"	"Male"	"M"	3604	2270151	158.76
	"Chlamydia"	"274"	"Connecticut"	"09"	"Female"	"F"	7738	1781277	434.41
	"Chlamydia"	"274"	"Connecticut"	"09"	"Male"	"M"	2070	1679226	123.27
	"Chlamydia"	"274"	"Delaware"	"10"	"Female"	"F"	2034	415010	490.11
	"Chlamydia"	"274"	"Delaware"	"10"	"Male"	"M"	615	392375	156.74
	"Chlamydia"	"274"	"District of Columbia"	"11"	"Female"	"F"	2825	301250	937.76
	"Chlamydia"	"274"	"District of Columbia"	"11"	"Male"	"M"	459	269648	170.22
	"Chlamydia"	"274"	"Florida"	"12"	"Female"	"F"	33902	8541946	396.89
	"Chlamydia"	"274"	"Florida"	"12"	"Male"	"M"	8156	8171203	99.81
	"Chlamydia"	"274"	"Georgia"	"13"	"Female"	"F"	27494	4342334	633.16
	"Chlamydia"	"274"	"Georgia"	"13"	"Male"	"M"	6363	4217976	150.85
	"Chlamydia"	"274"	"Hawaii"	"15"	"Female"	"F"	3445	620800	554.93
	"Chlamydia"	"274"	"Hawaii"	"15"	"Male"	"M"	1076	624098	172.41
	"Chlamydia"	"274"	"Idaho"	"16"	"Female"	"F"	1862	669186	278.25
	"Chlamydia"	"274"	"Idaho"	"16"	"Male"	"M"	641	671945	95.39
	"Chlamydia"	"274"	"Illinois"	"17"	"Female"	"F"	34154	6423314	531.72
	"Chlamydia"	"274"	"Illinois"	"17"	"Male"	"M"	13942	6177306	225.70
	"Chlamydia"	"274"	"Indiana"	"18"	"Female"	"F"	13151	3133773	419.65
	"Chlamydia"	"274"	"Indiana"	"18"	"Male"	"M"	3845	3025295	127.10
	"Chlamydia"	"274"	"Iowa"	"19"	"Female"	"F"	4680	1494732	313.10
	"Chlamydia"	"274"	"Iowa"	"19"	"Male"	"M"	1505	1442028	104.37
	"Chlamydia"	"274"	"Kansas"	"20"	"Female"	"F"	5653	1372069	412.01
	"Chlamydia"	"274"	"Kansas"	"20"	"Male"	"M"	1131	1343815	84.16
	"Chlamydia"	"274"	"Kentucky"	"21"	"Female"	"F"	7043	2091323	336.77
	"Chlamydia"	"274"	"Kentucky"	"21"	"Male"	"M"	1706	2001568	85.23
	"Chlamydia"	"274"	"Louisiana"	"22"	"Female"	"F"	14758	2310412	638.76
	"Chlamydia"	"274"	"Louisiana"	"22"	"Male"	"M"	3525	2172234	162.28
	"Chlamydia"	"274"	"Maine"	"23"	"Female"	"F"	1337	664327	201.26
	"Chlamydia"	"274"	"Maine"	"23"	"Male"	"M"	468	630139	74.27
	"Chlamydia"	"274"	"Maryland"	"24"	"Female"	"F"	13851	2819097	491.33
	"Chlamydia"	"274"	"Maryland"	"24"	"Male"	"M"	3029	2639040	114.78
	"Chlamydia"	"274"	"Massachusetts"	"25"	"Female"	"F"	8177	3325426	245.89
	"Chlamydia"	"274"	"Massachusetts"	"25"	"Male"	"M"	2724	3102377	87.80
	"Chlamydia"	"274"	"Michigan"	"26"	"Female"	"F"	25129	5116223	491.16
	"Chlamydia"	"274"	"Michigan"	"26"	"Male"	"M"	7143	4934223	144.76
	"Chlamydia"	"274"	"Minnesota"	"27"	"Female"	"F"	7352	2532348	290.32
	"Chlamydia"	"274"	"Minnesota"	"27"	"Male"	"M"	2755	2487372	110.76
	"Chlamydia"	"274"	"Mississippi"	"28"	"Female"	"F"	10274	1482903	692.83
	"Chlamydia"	"274"	"Mississippi"	"28"	"Male"	"M"	1526	1388879	109.87
	"Chlamydia"	"274"	"Missouri"	"29"	"Female"	"F"	13253	2910749	455.31
	"Chlamydia"	"274"	"Missouri"	"29"	"Male"	"M"	2928	2761830	106.02
	"Chlamydia"	"274"	"Montana"	"30"	"Female"	"F"	1840	456316	403.23
	"Chlamydia"	"274"	"Montana"	"30"	"Male"	"M"	625	453137	137.93
	"Chlamydia"	"274"	"Nebraska"	"31"	"Female"	"F"	3609	875685	412.14
	"Chlamydia"	"274"	"Nebraska"	"31"	"Male"	"M"	1128	853495	132.16
	"Chlamydia"	"274"	"Nevada"	"32"	"Female"	"F"	4365	1066409	409.32
	"Chlamydia"	"274"	"Nevada"	"32"	"Male"	"M"	1558	1107082	140.73
	"Chlamydia"	"274"	"New Hampshire"	"33"	"Female"	"F"	1168	647435	180.40
	"Chlamydia"	"274"	"New Hampshire"	"33"	"Male"	"M"	389	627621	61.98
	"Chlamydia"	"274"	"New Jersey"	"34"	"Female"	"F"	12183	4416376	275.86
	"Chlamydia"	"274"	"New Jersey"	"34"	"Male"	"M"	1962	4173927	47.01
	"Chlamydia"	"274"	"New Mexico"	"35"	"Female"	"F"	5918	942900	627.64
	"Chlamydia"	"274"	"New Mexico"	"35"	"Male"	"M"	1464	912159	160.50
	"Chlamydia"	"274"	"New York"	"36"	"Female"	"F"	41202	9906237	415.92
	"Chlamydia"	"274"	"New York"	"36"	"Male"	"M"	9885	9251295	106.85
	"Chlamydia"	"274"	"North Carolina"	"37"	"Female"	"F"	20384	4238626	480.91
	"Chlamydia"	"274"	"North Carolina"	"37"	"Male"	"M"	4340	4081520	106.33
	"Chlamydia"	"274"	"North Dakota"	"38"	"Female"	"F"	826	317532	260.13
	"Chlamydia"	"274"	"North Dakota"	"38"	"Male"	"M"	429	316578	135.51
	"Chlamydia"	"274"	"Ohio"	"39"	"Female"	"F"	29558	5868083	503.71
	"Chlamydia"	"274"	"Ohio"	"39"	"Male"	"M"	7926	5553185	142.73
	"Chlamydia"	"274"	"Oklahoma"	"40"	"Female"	"F"	8764	1773841	494.07
	"Chlamydia"	"274"	"Oklahoma"	"40"	"Male"	"M"	2040	1719873	118.61
	"Chlamydia"	"274"	"Oregon"	"41"	"Female"	"F"	5033	1773660	283.76
	"Chlamydia"	"274"	"Oregon"	"41"	"Male"	"M"	1976	1747855	113.05
